#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 37654 93359 0 93358 102 1202209825 93255 1203388500 238 1178675 0 1 1 192.168.101.1 22 128235 0 128235 117763 382260 10470 382260 0 0 8 1 1 1565281095462.871 1565281196355.658 100892.787 32.672 71.565 100858.841 100849.22 32.36 63.092 1 1 0 0 0 0 0 30.190395000000002 29.935 74.544 0.33017199999999997 57395 64 64 2.9769080000000003 0.005 47.686 1.4937200000000002 10341 63 63 0 0 0 0 0 0 1 1 7 1 245 1460 65160 16 64256.0 63488.0 0.0 2068920.0 16.0 32.0 0.0 210.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2965.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 834.0 10462.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37770 87310 0 87309 96 1122342946 87212 1123538996 236 1196050 0 1 1 192.168.101.1 22 122309 0 122309 112521 357852 9786 357852 0 0 10 1 1 1565281209870.718 1565281304034.0627 94163.345 33.011 71.371 94129.406 94128.763 32.698 63.624 1 1 0 0 0 0 0 30.196764 29.966 73.097 0.337302 51831 64 64 3.023354 0.005 45.478 1.638954 9664 63 63 0 0 0 0 0 0 1 1 7 1 353 1460 65160 16 64256.0 64000.0 0.0 2101760.0 16.0 32.0 0.0 224.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2807.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1224.0 28.0 32.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 792.0 9776.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37882 84607 0 84606 91 1101325346 84514 1102366340 193 1040994 0 1 1 192.168.101.1 22 121226 0 121226 111619 351408 9605 351408 0 0 9 1 1 1565281317320.454 1565281410263.667 92943.213 32.233 70.107 92908.881 92907.311 31.949 62.633 1 1 0 0 0 0 0 30.190786 29.964 71.954 0.36043800000000004 49252 64 64 3.0803830000000003 0.006 47.672 1.786282 9501 63 63 0 0 0 0 0 0 1 1 7 1 305 1460 65160 16 64256.0 63872.0 0.0 2095028.0 16.0 32.0 0.0 178.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2336.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 9.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 981.0 9596.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 37996 92808 0 92807 83 1198006164 92723 1199326740 238 1320576 0 1 1 192.168.101.1 22 133231 0 133231 122802 380568 10427 380568 0 0 7 1 1 1565281424007.442 1565281524525.297 100517.855 32.67 70.893 100482.431 100481.809 32.326 63.17 1 1 0 0 0 0 0 30.188377000000003 29.982 73.628 0.330691 54451 64 64 3.088108 0.006 44.273 1.686579 10337 63 63 0 0 0 0 0 0 1 1 7 1 215 1460 65160 16 64256.0 63872.0 0.0 2101760.0 16.0 32.0 0.0 222.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2830.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 7.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 806.0 10420.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38118 85934 0 85933 94 1118139425 85838 1119259716 202 1120291 0 1 1 192.168.101.1 22 116853 0 116853 107102 356376 9749 356376 0 0 5 1 1 1565281538372.5913 1565281633883.7722 95511.181 32.991 71.174 95473.715 95472.563 32.632 63.576 1 1 0 0 0 0 0 30.191114000000002 29.966 73.422 0.34370900000000004 54362 64 64 3.07956 0.005 45.329 1.6688319999999999 9647 63 63 0 0 0 0 0 0 1 1 7 1 149 1460 65160 16 64256.0 63488.0 0.0 2101760.0 16.0 32.0 0.0 185.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2633.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 833.0 9744.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38240 80914 0 80913 100 1055085127 80812 1055976080 181 890953 0 1 1 192.168.101.1 22 113037 0 113037 103846 334596 9189 334596 0 0 11 1 1 1565281646967.515 1565281736628.6233 89661.108 33.772 71.621 89627.172 89626.085 33.429 64.326 1 1 0 0 0 0 0 30.182212 29.971 72.849 0.342645 48315 64 64 3.119111 0.008 45.018 1.733701 9078 63 63 0 0 0 0 0 0 1 1 7 1 380 1460 65160 16 64256.0 64000.0 0.0 2068920.0 16.0 32.0 0.0 162.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2108.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1152.0 9178.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38338 80856 0 80855 132 1055085126 80722 1056269352 222 1184226 0 1 1 192.168.101.1 22 113213 0 113213 104018 335280 9193 335280 0 0 12 1 1 1565281749910.793 1565281838428.827 88518.034 32.765 70.982 88483.512 88482.968 32.416 63.331 1 1 0 0 0 0 0 30.180914 29.953 73.281 0.34621999999999997 48789 64 64 3.025046 0.008 46.854 1.9093919999999998 9051 63 63 0 0 0 0 0 0 1 1 7 1 405 1460 65160 16 64256.0 63872.0 0.0 2101760.0 16.0 32.0 0.0 205.0 0.0 0.0 17.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2523.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 838.0 9181.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38454 80265 0 80264 122 1063492166 80141 1064639968 219 1147802 0 1 1 192.168.101.1 22 114240 0 114240 104974 337764 9264 337764 0 0 12 1 1 1565281851430.319 1565281941617.685 90187.366 32.719 70.41 90153.346 90152.838 32.42 63.288 1 1 0 0 0 0 0 30.201196000000003 29.954 74.029 0.366373 46698 64 64 3.025369 0.007 44.087 1.8625080000000003 9128 63 63 0 0 0 0 0 0 1 1 7 1 371 1460 65160 12 64256.0 64000.0 0.0 2085340.0 16.0 32.0 2.0 187.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2674.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 12.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1174.0 9252.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38578 90415 0 90414 103 1181192225 90310 1182208260 205 1016035 0 1 1 192.168.101.1 22 124102 0 124102 113809 376356 10291 376356 0 0 10 1 1 1565281955383.742 1565282054722.1487 99338.407 32.484 70.185 99304.896 99304.285 32.199 63.049 1 1 0 0 0 0 0 30.208076000000002 29.969 73.309 0.322583 57423 64 64 3.050694 0.005 47.539 1.65355 10169 63 63 0 0 0 0 0 0 1 1 7 1 350 1460 65160 16 64256.0 63744.0 0.0 2085340.0 16.0 32.0 0.0 180.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2508.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 839.0 10281.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38704 79844 0 79843 100 1055085126 79742 1055993516 180 908390 0 1 1 192.168.101.1 22 115545 0 115545 106341 334920 9202 334920 0 0 6 1 1 1565282067507.074 1565282157004.566 89497.492 32.629 70.756 89463.61 89463.03 32.33 63.213 1 1 0 0 0 0 0 30.178002000000003 29.967 74.038 0.356634 46042 64 64 3.0186509999999998 0.007 45.174 1.896756 9092 63 63 0 0 0 0 0 0 1 1 7 1 203 1460 65160 16 64256.0 64128.0 0.0 2088208.0 16.0 32.0 0.0 170.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2130.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 1174.0 9196.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
